productId,productName,category,price,stockQuantity
1042,TechPro-1042,Laptops,1250.99,45
2381,UltraMax-2381,Smartphones,799.50,120
5673,SmartX-5673,Tablets,549.00,60
9012,ProElite-9012,Monitors,389.99,32
12450,NexGen-12450,Keyboards,89.95,200
18923,PowerCore-18923,Mice,49.99,350
23761,SwiftTech-23761,Headphones,199.00,75
31084,ZenBook-31084,Cameras,1099.00,20
40295,AlphaPlus-40295,Printers,299.50,40
55812,OmegaX-55812,Storage,149.99,180
67034,TechPro-67034,Laptops,2499.00,15
74501,UltraMax-74501,Smartphones,1199.00,55
83920,SmartX-83920,Tablets,799.00,25
91345,ProElite-91345,Monitors,649.99,18
103872,NexGen-103872,Keyboards,129.95,160
117634,PowerCore-117634,Mice,79.99,230
128059,SwiftTech-128059,Headphones,349.00,50
139412,ZenBook-139412,Cameras,2199.00,8
150823,AlphaPlus-150823,Printers,499.00,40
163047,OmegaX-163047,Storage,299.99,100
